codes,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14a,A15,A16,A17,A18,A19,A20,A21,A22
A1,0,20,25,25,25,40,70,70,70,110,120,150,150,150,150,150,150,150,150,150,150,150
A2,20,0,20,20,20,30,50,50,50,90,100,130,130,130,140,150,150,150,150,150,150,150
A3,25,20,0,20,20,20,25,25,25,65,75,105,105,105,115,125,130,140,145,150,150,150
A4,25,20,20,0,20,20,25,25,25,65,75,105,105,105,115,125,130,140,145,150,150,150
A5,25,20,20,20,0,20,25,25,25,65,75,105,105,105,115,125,130,140,145,150,150,150
A6,40,30,20,20,20,0,20,20,20,50,60,70,70,70,80,90,100,105,115,130,150,150
A7,70,50,25,25,25,20,0,20,20,30,40,50,50,50,60,70,80,85,95,110,115,120
A8,70,50,25,25,25,20,20,0,20,30,40,50,50,50,60,70,80,85,95,110,115,120
A9,70,50,25,25,25,20,20,20,0,30,40,50,50,50,60,70,80,85,95,110,115,120
A10,110,90,65,65,65,50,30,30,30,0,20,20,20,20,25,35,40,50,55,70,75,80
A11,120,100,75,75,75,60,40,40,40,20,0,20,20,20,20,25,30,40,45,60,65,70
A12,150,130,105,105,105,70,50,50,50,20,20,0,20,20,20,20,20,25,30,45,55,55
A13,150,130,105,105,105,70,50,50,50,20,20,20,0,20,20,20,20,25,30,45,55,55
A14a,150,130,105,105,105,70,50,50,50,20,20,20,20,0,20,20,20,25,30,45,55,55
A15,150,140,115,115,115,80,60,60,60,25,20,20,20,20,0,20,20,20,25,35,45,50
A16,150,150,125,125,125,90,70,70,70,35,25,20,20,20,20,0,20,20,20,25,35,40
A17,150,150,130,130,130,100,80,80,80,40,30,20,20,20,20,20,0,20,20,20,25,30
A18,150,150,140,140,140,105,85,85,85,50,40,25,25,25,20,20,20,0,20,20,20,25
A19,150,150,145,145,145,115,95,95,95,55,45,30,30,30,25,20,20,20,0,20,20,20
A20,150,150,150,150,150,130,110,110,110,70,60,45,45,45,35,25,20,20,20,0,20,20
A21,150,150,150,150,150,150,115,115,115,75,65,55,55,55,45,35,25,20,20,20,0,20
A22,150,150,150,150,150,150,120,120,120,80,70,55,55,55,50,40,30,25,20,20,20,0
