codes,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V26,V27,V28
V01,0,20,20,20,20,20,20,25,25,25,25,25,25,30
V02,20,0,20,20,20,20,20,20,25,25,25,25,25,25
V03,20,20,0,20,20,20,20,20,20,20,25,20,25,25
V04,20,20,20,0,20,20,20,20,20,20,20,20,20,25
V05,20,20,20,20,0,20,20,20,20,20,20,20,20,25
V06,20,20,20,20,20,0,20,20,20,20,20,20,20,20
V07,20,20,20,20,20,20,0,20,20,20,20,20,20,20
V08,25,20,20,20,20,20,20,0,20,20,20,20,20,20
V09,25,25,20,20,20,20,20,20,0,20,20,20,20,20
V10,25,25,20,20,20,20,20,20,20,0,20,20,20,20
V11,25,25,25,20,20,20,20,20,20,20,0,20,20,20
V26,25,25,20,20,20,20,20,20,20,20,20,0,20,20
V27,25,25,25,20,20,20,20,20,20,20,20,20,0,20
V28,30,25,25,25,25,20,20,20,20,20,20,20,20,0
